* RegName               			Page		RegAddr			DefData			WrData
Channel240                			0x01		0xf0			0x80			0x80
Channel241                			0x01		0xf1			0x80			0x80
Channel242                			0x01		0xf2			0x80			0x80
Channel243                			0x01		0xf3			0x80			0x80
Channel244                			0x01		0xf4			0x80			0x80
Channel245                			0x01		0xf5			0x80			0x80
Channel246                			0x01		0xf6			0x80			0x80
Channel247                			0x01		0xf7			0x80			0x80
Channel248                			0x01		0xf8			0x80			0x80
Channel249                			0x01		0xf9			0x80			0x80
Channel250                			0x01		0xfa			0x80			0x80
Channel251                			0x01		0xfb			0x80			0x80
Channel252                			0x01		0xfc			0x80			0x80
Channel253                			0x01		0xfd			0x80			0x80
Channel254                			0x01		0xfe			0x80			0xaa
ChannelDummy                		0x01		0xff			0x80			0x55
